,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
9794,1581525,3812469,Entire home/apt,Manhattan,Chelsea,5,5.0,2,1.0,1.0,337.0,3,40.738175,-73.991168,2014-05-12 18:21:52.804
9795,1581579,7748180,Entire home/apt,Queens,Ditmars Steinway,10,5.0,6,1.0,1.0,127.0,2,40.778727,-73.91367,2014-05-11 23:26:39.397
9796,1582083,1696042,Entire home/apt,Brooklyn,Prospect Heights,5,5.0,6,2.0,1.0,213.0,2,40.680766,-73.972664,2014-05-11 09:18:58.487
9797,1582106,8416010,Entire home/apt,Brooklyn,Bedford-Stuyvesant,0,,2,2.0,1.0,130.0,1,40.685099,-73.955271,2014-05-12 00:42:55.125
9798,1582263,1149207,Entire home/apt,Brooklyn,Clinton Hill,3,4.5,2,,1.0,129.0,2,40.694035,-73.96737,2014-05-12 15:47:12.795
9799,1582619,5836179,Entire home/apt,Manhattan,Lower East Side,3,5.0,3,1.0,1.0,196.0,1,40.718914,-73.989375,2014-05-12 00:47:27.866
9800,1582685,8424748,Private room,Manhattan,East Village,12,4.5,2,1.0,1.0,191.0,2,40.727273,-73.990324,2014-05-12 07:58:20.465
9801,1582837,7731081,Private room,Brooklyn,Williamsburg,0,,1,1.0,2.0,67.0,1,40.707723,-73.94207,2014-05-12 21:05:32.795
9802,1582875,8426996,Entire home/apt,Brooklyn,Bedford-Stuyvesant,4,4.5,5,2.0,1.0,135.0,1,40.687035,-73.947544,2014-05-12 00:47:30.208
9803,1582901,8427431,Entire home/apt,Manhattan,Civic Center,0,,10,4.0,2.0,1010.0,1,40.714679,-74.004224,2014-05-12 02:57:26.589
9804,1582940,8427525,Private room,Manhattan,Upper West Side,9,5.0,2,1.0,1.0,100.0,10,40.796695,-73.963712,2014-05-12 07:53:23.691
9805,1583095,8428198,Entire home/apt,Brooklyn,Williamsburg,14,5.0,7,1.0,1.0,331.0,4,40.717923,-73.962293,2014-05-12 21:16:10.641
9806,1583128,263510,Private room,Manhattan,Upper West Side,5,4.0,1,1.0,1.0,91.0,7,40.78041,-73.977475,2014-05-12 00:32:49.192
9807,1583258,8428985,Entire home/apt,Manhattan,East Village,6,4.5,2,1.0,1.0,260.0,1,40.724478,-73.990513,2014-05-12 13:15:28.294
9808,1583335,117236,Entire home/apt,Manhattan,West Village,0,,5,2.0,1.0,393.0,2,40.730776,-74.010399,2014-05-12 19:52:21.457
9809,1583587,3902092,Private room,Manhattan,East Village,6,4.5,2,1.0,1.0,167.0,1,40.731197,-73.988848,2014-05-12 19:32:49.210
9810,1583653,8434244,Private room,Manhattan,East Harlem,1,5.0,2,1.0,1.0,123.0,1,40.791286,-73.937707,2014-05-12 01:35:50.624
9811,1583917,3805219,Entire home/apt,Brooklyn,Red Hook,4,5.0,4,2.0,1.0,223.0,2,40.675377,-74.001005,2014-05-12 02:16:58.861
9812,1583921,6374043,Entire home/apt,Manhattan,Chelsea,10,5.0,2,1.0,1.0,342.0,3,40.740741,-73.999851,2014-05-12 02:37:40.401
9813,1583971,8439004,Private room,Brooklyn,Brooklyn Heights,10,5.0,2,1.0,1.0,135.0,2,40.693539,-73.997898,2014-05-12 08:27:17.295
9814,1583985,7657324,Entire home/apt,Brooklyn,Bushwick,5,5.0,4,1.0,1.0,112.0,1,40.705666,-73.916672,2014-05-12 09:41:43.715
9815,1583999,8439112,Private room,Brooklyn,Clinton Hill,6,4.5,2,1.0,1.0,111.0,1,40.686724,-73.96508,2014-05-12 10:51:39.947
9816,1584051,4552878,Private room,Manhattan,Murray Hill,13,5.0,4,1.0,1.0,168.0,1,40.746688,-73.976979,2014-05-12 15:28:01.828
9817,1584060,8119708,Private room,Brooklyn,Midwood,5,4.5,2,1.0,1.0,84.0,1,40.627328,-73.961022,2014-05-12 16:12:42.988
9818,1584086,8153294,Private room,Brooklyn,Williamsburg,2,5.0,2,1.0,1.0,67.0,4,40.709914,-73.956575,2014-05-12 18:27:45.612
9819,1584099,8439548,Private room,Manhattan,Hell's Kitchen,0,,5,1.0,1.0,225.0,1,40.763677,-73.985085,2014-05-12 19:32:54.345
9820,1584167,5425041,Private room,Manhattan,Harlem,5,4.5,4,1.0,1.0,101.0,2,40.817167,-73.945314,2014-05-12 01:46:02.149
9821,1584187,6383870,Shared room,Manhattan,Hell's Kitchen,2,5.0,4,1.0,1.0,62.0,1,40.766137,-73.985328,2014-05-12 03:25:48.431
9822,1584200,8440211,Private room,Brooklyn,Bushwick,2,5.0,2,1.0,1.0,70.0,1,40.703738,-73.924732,2014-05-12 04:30:07.440
9823,1584239,4227571,Entire home/apt,Brooklyn,Williamsburg,8,5.0,2,1.0,1.0,134.0,4,40.71089,-73.941295,2014-05-12 09:30:51.298
9824,1584374,8305055,Private room,Manhattan,Hell's Kitchen,0,,4,1.0,1.0,189.0,2,40.764273,-73.98997,2014-05-12 21:10:48.392
9825,1584421,8050754,Private room,Brooklyn,Williamsburg,0,,2,1.0,1.0,84.0,1,40.716609,-73.951309,2014-05-12 01:35:56.464
9826,1584437,1749304,Private room,Manhattan,Kips Bay,12,5.0,2,1.0,1.0,100.0,1,40.741774,-73.973421,2014-05-12 02:57:28.611
9827,1584510,3279970,Entire home/apt,Manhattan,Upper West Side,6,5.0,3,,1.0,167.0,3,40.776288,-73.980217,2014-05-12 10:46:48.555
9828,1585219,186011,Private room,Brooklyn,Flatbush,2,5.0,2,1.0,2.0,90.0,1,40.64902,-73.97147,2014-05-12 04:06:03.058
9829,1586019,5740172,Entire home/apt,Manhattan,Lower East Side,3,5.0,5,2.0,1.0,281.0,2,40.719446,-73.986738,2014-05-12 08:27:29.628
9830,1586454,8452695,Private room,Queens,Maspeth,9,4.5,2,1.0,1.0,92.0,4,40.739604,-73.905641,2014-05-12 00:21:34.093
9831,1586641,8452639,Private room,Brooklyn,Prospect-Lefferts Gardens,8,4.5,4,1.0,2.0,103.0,2,40.66253,-73.958903,2014-05-12 18:01:22.021
