listing_id,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
6706,1164132,6377107,Entire home/apt,Manhattan,Upper West Side,2,4.5,4,2,2,211,3,40.794103,-73.968408,36:44.9
6707,1164157,5188783,Entire home/apt,Brooklyn,Brooklyn Heights,2,5,8,6,2,702,7,40.701754,-73.993751,44:30.0
6708,1164314,6377002,Entire home/apt,Queens,Elmhurst,3,5,4,2,1,70,1,40.730511,-73.87162,16:52.3
6709,1164370,6270968,Private room,Brooklyn,Bedford-Stuyvesant,14,4.5,3,1,1,64,3,40.682129,-73.939707,03:36.8
6710,1164375,5122104,Entire home/apt,Bronx,Claremont Village,58,4.5,5,1,1,88,2,40.841183,-73.9114,30:55.5
6711,1164940,1326966,Entire home/apt,Manhattan,Midtown,12,4.5,3,1,1,175,4,40.75793,-73.965799,01:11.6
6712,1165333,6321250,Entire home/apt,Manhattan,Upper East Side,0,,3,1,,175,5,40.773388,-73.952034,49:59.9
6713,1165696,6384501,Entire home/apt,Queens,Astoria,23,5,4,1,1,116,2,40.762409,-73.926182,59:54.4
6714,1165712,689018,Entire home/apt,Manhattan,Greenwich Village,1,4.5,4,2,1.5,291,1,40.73125,-73.994611,23:42.0
6715,1165755,5017190,Entire home/apt,Brooklyn,Williamsburg,8,4.5,5,2,1,199,5,40.715595,-73.951929,00:01.8
6716,1165913,6385492,Private room,Queens,Sunnyside,5,5,1,1,1,82,2,40.742388,-73.922129,41:50.5
6717,1166109,1840564,Private room,Brooklyn,Williamsburg,16,5,2,1,1.5,409,3,40.705163,-73.938057,31:00.2
6718,1166146,6195102,Private room,Brooklyn,Downtown Brooklyn,17,4.5,2,1,1,117,1,40.695979,-73.985193,37:27.5
6719,1166456,6387880,Private room,Brooklyn,Crown Heights,0,,11,1,1,240,1,40.677824,-73.952322,19:52.8
6720,1166616,6388666,Private room,Manhattan,Washington Heights,22,4.5,2,1,1,105,2,40.84002,-73.938503,06:11.4
6721,1166725,2893769,Entire home/apt,Manhattan,Chelsea,3,4.5,3,2,1,345,1,40.744995,-73.999999,24:54.8
6722,1166890,713002,Entire home/apt,Manhattan,Morningside Heights,4,5,3,2,1,170,1,40.809014,-73.955917,35:20.2
6723,1167009,489448,Private room,Brooklyn,Bushwick,13,5,2,1,1,70,3,40.697833,-73.936743,52:42.7
6724,1167269,210899,Entire home/apt,Brooklyn,Greenpoint,4,5,2,1,1,130,2,40.728064,-73.955927,12:07.1
6725,1167314,6391526,Private room,Brooklyn,Greenpoint,2,5,1,1,1,116,5,40.724649,-73.953189,52:50.1
6726,1167456,6393175,Entire home/apt,Queens,Elmhurst,6,4.5,3,1,1,99,3,40.743013,-73.888934,17:47.5
6727,1167581,4310737,Private room,Manhattan,Chelsea,30,4.5,2,1,1,94,1,40.739927,-74.002749,46:51.1
6728,1167658,6394282,Private room,Brooklyn,Greenpoint,30,4.5,2,1,1,78,2,40.731352,-73.954888,35:32.8
6729,1167729,6394629,Private room,Brooklyn,Williamsburg,13,5,2,1,1,123,2,40.716926,-73.962934,43:47.9
6730,1167967,6396593,Private room,Manhattan,Hell's Kitchen,1,4,1,1,1,129,1,40.764614,-73.987773,12:55.5
6731,1169651,5885425,Entire home/apt,Brooklyn,Bedford-Stuyvesant,0,,4,2,1,117,1,40.685093,-73.917216,33:42.4
6732,1169928,6394684,Private room,Manhattan,East Harlem,5,4,3,1,1,99,1,40.788883,-73.947919,50:20.7
